"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 28 21:11:25 MSK 2025","Sat Jun 28 21:11:28 MSK 2025","2608","","stellar.tests.LoginTest","","stellar.tests.LoginTest","testLoginViaPasswordRestore","Вход через форму восстановления пароля","Проверка входа через ссылку в форме восстановления пароля"
"passed","Sat Jun 28 21:11:28 MSK 2025","Sat Jun 28 21:11:30 MSK 2025","2544","","stellar.tests.LoginTest","","stellar.tests.LoginTest","testLoginViaMainButton","Вход через кнопку 'Войти в аккаунт'","Проверка входа через главную кнопку авторизации"
"passed","Sat Jun 28 21:11:34 MSK 2025","Sat Jun 28 21:11:36 MSK 2025","1641","","stellar.tests.RegistrationTest","","stellar.tests.RegistrationTest","testInvalidPasswordRegistration","testInvalidPasswordRegistration(String) Ошибка при некорректном пароле в браузере yandex",""
"passed","Sat Jun 28 21:11:21 MSK 2025","Sat Jun 28 21:11:25 MSK 2025","4281","","stellar.tests.LoginTest","","stellar.tests.LoginTest","testLoginViaPersonalAccount","Вход через кнопку 'Личный кабинет'","Проверка входа через кнопку личного кабинета"
"passed","Sat Jun 28 21:11:37 MSK 2025","Sat Jun 28 21:11:39 MSK 2025","1801","","stellar.tests.RegistrationTest","","stellar.tests.RegistrationTest","testSuccessfulRegistration","testSuccessfulRegistration(String) Успешная регистрация в браузере yandex",""
"passed","Sat Jun 28 21:11:18 MSK 2025","Sat Jun 28 21:11:19 MSK 2025","1356","","stellar.tests.ConstructorNavigationTest","","stellar.tests.ConstructorNavigationTest","testBunsNavigation","Навигация по разделу Булки","Проверка переключения на раздел 'Булки'"
"passed","Sat Jun 28 21:11:16 MSK 2025","Sat Jun 28 21:11:18 MSK 2025","2005","","stellar.tests.ConstructorNavigationTest","","stellar.tests.ConstructorNavigationTest","testFillingsNavigation","Навигация по разделу Начинки","Проверка переключения на раздел 'Начинки'"
"passed","Sat Jun 28 21:11:19 MSK 2025","Sat Jun 28 21:11:21 MSK 2025","1433","","stellar.tests.ConstructorNavigationTest","","stellar.tests.ConstructorNavigationTest","testSaucesNavigation","Навигация по разделу Соусы","Проверка переключения на раздел 'Соусы'"
"passed","Sat Jun 28 21:11:30 MSK 2025","Sat Jun 28 21:11:33 MSK 2025","2525","","stellar.tests.LoginTest","","stellar.tests.LoginTest","testLoginViaRegistrationForm","Вход через форму регистрации","Проверка входа через ссылку в форме регистрации"
"passed","Sat Jun 28 21:11:33 MSK 2025","Sat Jun 28 21:11:34 MSK 2025","1589","","stellar.tests.RegistrationTest","","stellar.tests.RegistrationTest","testInvalidPasswordRegistration","testInvalidPasswordRegistration(String) Ошибка при некорректном пароле в браузере chrome",""
"passed","Sat Jun 28 21:11:36 MSK 2025","Sat Jun 28 21:11:37 MSK 2025","1546","","stellar.tests.RegistrationTest","","stellar.tests.RegistrationTest","testSuccessfulRegistration","testSuccessfulRegistration(String) Успешная регистрация в браузере chrome",""
